TICID,Camera,CCD,Tmag,RA,Dec,sector,count
175934060,3,3,-1.68,247.3518,-26.4319,91,1
152859121,3,4,1.5,249.2898,-10.5669,91,1
178999156,1,1,1.96,201.2979,-11.1615,91,1
83852015,4,2,2.1,260.5024,-24.9997,91,1
465992580,1,1,2.28,286.7346,-27.6722,92,1
114746467,2,2,2.29,305.2531,-14.7814,92,1
12725034,3,3,2.38,240.0833,-22.622,91,1
188072230,2,3,2.42,287.441,-21.0239,92,1
400036304,4,1,2.45,257.5948,-15.7242,91,1
442255852,1,2,2.49,284.4328,-21.1068,92,1
155842257,3,3,2.59,326.7621,-16.1294,92,1
91093307,1,1,2.83,283.8165,-26.2971,92,1
5976862,2,3,2.97,213.224,-10.2727,91,1
386935627,3,1,3.05,233.882,-14.7895,91,1
66744681,3,3,3.07,239.7129,-26.1143,91,1
4095307,1,2,3.11,280.7295,-19.2844,92,1
308263469,2,4,3.13,212.7104,-16.3021,91,1
127476636,4,3,3.18,274.5133,-27.0427,91,1
465950458,1,1,3.18,281.4145,-26.9908,92,1
743613,2,3,3.18,205.4026,-8.7027,91,1
12429240,3,2,3.19,235.4864,-19.6796,91,1
281109982,3,1,3.23,238.4571,-16.7284,91,1
322928423,3,3,3.27,245.2971,-25.5929,91,1
188469084,2,1,3.35,310.0121,-18.1388,92,1
457965487,3,3,3.44,245.159,-24.1695,91,1
67759173,3,3,3.45,242.0324,-26.3267,91,1
288329878,3,2,3.51,320.5619,-16.8345,92,1
414016637,3,4,3.52,247.7845,-16.613,91,1
48795257,3,3,3.57,241.8517,-20.8691,91,1
335865775,2,2,3.59,224.4441,-12.4377,91,1
203446674,3,4,3.61,246.0256,-20.0375,91,1
441969141,1,1,3.62,283.5424,-22.7449,92,1
177227194,1,2,3.63,281.5047,-19.6063,92,1
73849418,3,2,3.68,233.0632,-23.8802,91,1
432202774,2,2,3.69,226.6564,-16.257,91,1
24806286,3,1,3.7,317.3992,-11.3718,92,1
334177803,2,3,3.77,290.418,-17.847,92,1
227998935,1,1,3.8,278.4728,-24.0323,92,1
335102703,1,1,3.82,201.6789,-12.7078,91,1
12354002,3,2,3.85,235.0703,-23.8182,91,1
214564391,3,2,3.87,316.8143,-16.4228,92,1
204191276,3,4,3.88,246.7559,-18.4564,91,1
468048180,1,1,3.88,283.7805,-22.6715,92,1
67178294,3,3,3.89,240.8354,-25.8655,91,1
351854049,1,2,3.91,283.7269,-16.5255,92,1
398707879,3,4,3.92,250.3931,-17.7422,91,1
333394783,3,4,3.93,326.5679,-9.2759,92,1
224457605,1,2,3.93,282.4171,-20.3244,92,1
69306844,2,3,3.96,296.5896,-19.7618,92,1
161828468,3,3,3.97,241.7017,-20.6693,91,1
354002,1,2,3.97,278.849,-19.2686,92,1
442430935,1,1,3.98,285.9321,-22.7121,92,1
135596590,3,4,3.98,243.4621,-11.8378,91,1
18809254,4,2,3.99,254.9905,-25.0923,91,1
75899957,4,1,3.99,260.2536,-21.1144,91,1
209188615,2,4,4.0,298.9614,-26.2989,92,1
11450686,2,3,4.01,289.4086,-18.953,92,1
414705454,1,2,4.01,284.8493,-19.2796,92,1
444107995,2,4,4.04,299.7385,-26.1956,92,1
214558913,3,2,4.11,316.4874,-17.2333,92,1
192584774,2,2,4.13,224.1922,-11.4096,91,1
24086212,3,1,4.15,314.2251,-9.6976,92,1
168875537,2,4,4.16,291.3734,-23.9625,92,1
417526469,1,3,4.17,265.3531,-12.8757,92,1
181290095,3,4,4.18,252.4591,-10.7837,91,1
335254912,3,1,4.2,232.0643,-16.7167,91,1
333369648,3,4,4.2,326.2512,-9.0824,92,1
415683739,3,2,4.21,318.908,-20.6517,92,1
2291183,2,4,4.26,288.8854,-25.2569,92,1
385436159,2,4,4.28,211.6735,-14.205,91,1
81375021,4,2,4.28,259.5024,-24.287,91,1
79454735,4,2,4.29,258.8327,-26.6098,91,1
502486654,3,4,4.29,242.9988,-19.4605,91,1
49202232,3,4,4.3,242.9988,-19.4609,91,1
214616659,3,1,4.3,318.1932,-14.3927,92,1
1277142190,4,2,4.31,258.8338,-26.6109,91,1
429674236,4,1,4.32,260.2072,-12.8469,91,1
439340909,2,3,4.34,295.1813,-16.2936,92,1
70521136,3,2,4.36,229.0956,-22.3994,91,1
617994,1,1,4.36,203.2417,-10.1653,91,1
71637257,2,1,4.38,304.2772,-21.318,92,1
422328291,2,4,4.39,203.2146,-15.363,91,1
99636229,3,2,4.41,321.0399,-20.8528,92,1
410572150,3,1,4.42,239.2718,-16.0347,91,1
435179077,4,1,4.43,259.5803,-16.3118,91,1
230933617,2,3,4.45,287.7148,-15.0778,92,1
439106796,2,3,4.46,293.5792,-16.3742,92,1
73678669,3,4,4.47,251.3757,-19.1369,91,1
52836294,3,4,4.48,244.7516,-14.8728,91,1
309273373,2,1,4.48,221.8068,-21.3249,91,1
157170269,2,4,4.49,213.2904,-13.8601,91,1
99729124,3,2,4.5,321.8115,-21.1964,92,1
119606110,2,4,4.5,291.5801,-21.7767,92,1
47661512,2,3,4.52,296.7878,-17.0782,92,1
70800535,3,2,4.54,234.728,-19.3025,91,1
29748529,3,1,4.54,320.7342,-9.3195,92,1
333077513,3,4,4.55,324.4388,-7.8544,92,1
155706950,3,3,4.55,325.386,-14.0498,92,1
70298460,3,2,4.57,228.0551,-19.792,91,1
169314820,2,4,4.57,292.4676,-26.9859,92,1
429135124,2,2,4.58,307.2149,-17.8138,92,1
126327101,2,3,4.59,294.264,-18.2312,92,1
441960203,1,2,4.59,283.5004,-21.36,92,1
72376686,2,1,4.6,307.3807,-22.3918,92,1
379914959,2,4,4.6,288.3069,-25.9069,92,1
200758337,1,4,4.61,264.5499,-28.0469,92,1
108595201,1,1,4.62,285.6151,-24.8481,92,1
206004861,3,3,4.63,250.4572,-27.1054,91,1
435053621,4,1,4.63,259.0661,-15.2237,91,1
418824772,3,2,4.64,316.101,-19.8553,92,1
203822408,3,3,4.66,246.3963,-23.4473,91,1
295263194,4,1,4.66,264.5395,-10.9263,91,1
287157634,2,1,4.7,224.3745,-21.4276,91,1
441027987,3,2,4.7,324.2702,-19.466,92,1
168829745,2,4,4.71,291.3191,-24.509,92,1
444057141,2,4,4.71,294.1773,-24.8838,92,1
377135788,1,1,4.73,285.4073,-22.6954,92,1
169866102,1,3,4.73,266.94,-22.4778,92,1
290128474,2,4,4.73,206.4845,-12.4265,91,1
187277316,2,3,4.74,206.8059,-9.7098,91,1
422736099,2,3,4.74,295.6302,-16.1241,92,1
188231931,3,2,4.75,313.6988,-17.923,92,1
206238826,3,3,4.75,328.3263,-13.5517,92,1
146006911,4,1,4.79,258.2579,-10.5783,91,1
290058791,2,4,4.83,206.1244,-16.1791,91,1
192622805,2,2,4.83,224.7225,-11.1445,91,1
410627159,3,1,4.83,239.5473,-14.2795,91,1
203446203,3,3,4.85,245.9678,-22.3688,91,1
351985764,1,2,4.86,283.6796,-15.6031,92,1
157837609,1,2,4.86,203.8805,-5.3956,91,1
294618524,3,1,4.87,230.7575,-15.1339,91,1
442202726,1,2,4.87,284.3353,-20.6564,92,1
432265150,3,1,4.87,228.5783,-14.2096,91,1
420895269,3,4,4.87,242.9999,-10.0644,91,1
70750382,3,2,4.88,234.5683,-21.0167,91,1
70697078,3,2,4.88,234.4499,-23.1423,91,1
192680424,2,2,4.88,225.2427,-8.519,91,1
127164591,4,3,4.88,274.4651,-27.3548,91,1
442402963,1,2,4.88,285.7659,-19.2458,92,1
323120504,3,3,4.9,247.552,-25.1154,91,1
135656809,3,4,4.91,243.9069,-8.3729,91,1
335328974,3,1,4.91,232.6685,-16.6095,91,1
413938133,3,4,4.91,247.4458,-14.5508,91,1
71114698,3,2,4.92,237.2287,-20.4486,91,1
409100858,2,2,4.92,310.135,-16.1236,92,1
428917148,3,2,4.93,231.0826,-22.9112,91,1
12382232,2,3,4.93,290.4628,-18.309,92,1
261346414,3,1,4.93,312.675,-12.5454,92,1
76917955,3,2,4.94,312.3356,-18.0361,92,1
26348809,2,2,4.94,223.5949,-11.8984,91,1
125066656,2,4,4.95,293.6415,-23.8589,92,1
423873323,1,2,4.97,279.7214,-13.7769,92,1
48774605,2,2,4.98,299.4878,-15.4922,92,1
145740988,4,1,4.98,257.4502,-10.5241,91,1
442521417,3,2,4.99,315.2155,-17.531,92,1
71644320,2,1,4.99,304.5061,-21.8101,92,1
241934693,2,3,4.99,298.05,-19.0454,92,1
67232805,3,3,4.99,240.9779,-24.7263,91,1
414158559,3,4,5.01,248.3799,-12.5602,91,1
198568110,4,1,5.02,255.4633,-18.8856,91,1
220466985,3,2,5.02,238.3335,-20.1672,91,1
50060197,3,3,5.02,245.1804,-21.8407,91,1
423804974,1,2,5.02,279.7604,-15.0393,92,1
79014697,2,4,5.02,212.2513,-19.246,91,1
522627916,2,2,5.04,307.2149,-17.8143,92,1
422856892,2,3,5.06,295.8909,-15.4715,92,1
187912870,2,3,5.07,287.1844,-18.9528,92,1
189688673,2,4,5.07,210.7656,-17.3671,91,1
70298007,3,2,5.08,228.0497,-19.1067,91,1
434995865,4,1,5.08,258.8344,-14.5843,91,1
153173879,3,4,5.08,250.2824,-11.8387,91,1
127847930,2,4,5.1,295.0301,-23.4292,92,1
2622077,2,3,5.1,208.9497,-9.56,91,1
11536112,2,3,5.11,289.5859,-19.361,92,1
287619474,3,4,5.11,250.4739,-19.9241,91,1
399678436,4,1,5.11,257.0619,-17.6093,91,1
111148599,3,3,5.12,327.5542,-16.8449,92,1
83851180,4,2,5.12,260.4229,-24.9064,91,1
19924794,2,3,5.12,211.6774,-9.3135,91,1
352487147,1,2,5.13,283.879,-16.3779,92,1
188077024,2,3,5.13,287.4508,-19.8042,92,1
433774971,1,2,5.13,279.198,-15.9455,92,1
114612415,2,2,5.13,304.7386,-15.8579,92,1
186642657,1,2,5.14,277.8595,-18.4029,92,1
318445083,3,3,5.15,247.8449,-26.5379,91,1
49697678,3,4,5.15,244.2466,-20.1041,91,1
20035975,2,3,5.17,212.83,-10.4791,91,1
31251240,1,2,5.18,282.0558,-19.1989,92,1
79841001,4,2,5.19,259.0519,-26.5541,91,1
71859994,3,1,5.2,236.0181,-15.6733,91,1
52954332,3,4,5.2,244.9666,-14.6431,91,1
67080218,3,3,5.2,240.6214,-26.1481,91,1
333163353,3,4,5.21,324.8672,-10.5773,92,1
214651507,3,2,5.21,318.7776,-17.3453,92,1
203481855,3,4,5.21,251.1758,-14.0802,91,1
108008285,1,1,5.22,285.1038,-24.9419,92,1
288404080,3,1,5.22,321.0485,-12.878,92,1
198795276,4,1,5.23,255.8278,-20.1406,91,1
48907955,3,3,5.24,242.0515,-23.7933,91,1
220308715,3,2,5.24,226.6136,-22.0322,91,1
281108197,3,2,5.24,230.2236,-18.1591,91,1
220765386,4,1,5.24,253.3549,-20.4157,91,1
1544160,1,2,5.24,279.7219,-21.053,92,1
181694706,4,1,5.25,254.3583,-10.964,91,1
220462690,3,1,5.25,238.4842,-18.9509,91,1
120869294,2,3,5.26,292.022,-18.3594,92,1
357495411,1,1,5.27,200.5344,-12.5796,91,1
149055737,1,1,5.27,278.8911,-27.3417,92,1
214579678,3,2,5.28,317.3547,-16.6157,92,1
241967968,2,4,5.29,298.573,-23.944,92,1
441018038,3,2,5.29,323.7125,-20.084,92,1
294850329,3,1,5.3,237.9098,-14.1336,91,1
126668402,2,4,5.3,294.3583,-21.9539,92,1
243895751,4,4,5.3,273.8038,-20.7283,91,1
49868812,3,4,5.31,244.7823,-20.2182,91,1
1259005559,3,3,5.31,246.3959,-23.4466,91,1
427616891,1,2,5.32,281.9965,-16.7765,92,1
420896293,3,4,5.33,243.0308,-8.5476,91,1
309480904,2,1,5.33,222.9637,-18.3553,91,1
163117625,3,4,5.33,250.1439,-20.4084,91,1
71800489,3,1,5.33,235.8535,-15.0439,91,1
18809756,4,2,5.34,255.0402,-24.9895,91,1
392460735,2,4,5.34,204.9938,-16.4466,91,1
386768307,2,4,5.34,208.5888,-17.1802,91,1
190910831,4,2,5.34,252.0575,-24.5267,91,1
12056898,2,4,5.35,290.1588,-22.4023,92,1
434548196,4,1,5.35,254.1114,-15.4855,91,1
